a apostolico
a b. sideridis
a borodin
a el sayed noor
a f. smeaton
a filipe
a h. sameh
a j. fisher
a j. morffew
a j. rowland
a j. wilkes
a k. mittal
a kreczmar
a m. davis
a p.w. bohm
a salwicki
a winkler
a. a. rampuria
a. bellen
a. d. wyner
a. g. akritas
a. jennings
a. w. roscoe
abe lockman
adele goldberg
adolph d'cunha
aivar a. lorenc
akio tojo
alan cohen
alan d. kalvin
alan l. selman
alan l. tharp
alan mycroft
albert r. meyer
albert s. tedesco
alexander h. levis
alfonso miola
alfred z. spector
alistair moffat
allan ramsay
allen van gelder
amador muriel
amir pnueli
anders bjornerstedt
andre schiper
andreas reuter
andrew m. mccosh
andrew p. sage
andrew s. tanenbaum
andrzej salwicki
andrzej tarlecki
annalisa bossi
anne lee paxton
anthony p. sayers
antoni kreczmar
antonio l. furtado
antonio restivo
art lew
arthur e. oldehoeft
arthur h. seidman
"arthur v. peterson, jr."
arto salomaa
arun k. majumdar
athanasios k. tsakalidis
avi rushinek
avi wigderson
b c. brookes
b legrand
b manvel
b monien
b n. galton
b n.t foxon
b s. baker
b smith
b. lampson
barbara sandberg
barry w. boehm
beat hirsbrunner
bernard chazelle
bertrand meyer
bo einarsson
bob balzer
boris beizer
broy manfred
bruce w. leverett
bruno courcelle
bryant w. york
byron b. oberst
c batini
c c. chang
c d. paice
c d.f miller
c faulle
c j. van rijsbergen
c k. wong
c m. reeves
c r. vick
c v. ramamoorthy
c w. ueberhuber
c. a. r. hoare
c. c. chang
c. h. lindsey
c. y. tang
carl e. landwehr
carl g. davis
carlo ghezzi
casimir a. kulikowski
ch ullrich
charles c. sims
charles n. fischer
charles t. meadow
charles t. retter
chee k. yap
"chelsea c. white, iii"
chih-sung tang
ching-fang lin
chris horn
chris morgan
christer hulten
christine browning
christophe reutenauer
christopher t. haynes
colin martindale
constance l. heitmeyer
curtis abbott
cynthia a. brown
cyril cleverdon
d a. bell
d barton
d c. s. allison
d e hewgill
d e. avison
d g. maritsas
d h. lawrie
d j evans
d j. gilmore
d j. rosenkrantz
d j. sebastian
d k. friesen
d l. lee
d m. lane
d rotem
d thalmann
d vojnovic
d w. singer
d. e. boekee
d. h. potts
dan e. willard
dana h. ballard
dana s. nau
daniel g. mcnicholl
daniel gajski
daniel l. weller
daniel p. friedman
dario bini
david b. macqueen
david bustard
david d. woods
david e. wilkins
david ellis
david gries
david haussler
david j. kuck
david l. mcpeters
david l. spooner
david m. bonner
david m. harland
david m. smith
david maier
david rhodes
david robson
david s. touretzky
david t. barnard
dean m. young
deborah joseph
dieter seitzer
donald a. watne
