aeg-telefunken research institute
aere harwell laboratory
at & t bell labs.
at&t bell laboratories
aarhus univ.
academia sinica
academy of sciences of the latvian soviet socialist republic
all-union centre for translation
american bell
argonne national laboratory
arthur young
auburn univ.
ballistic missile defense advanced technology center
baruch college
baruch college of the city university of new york
baylor univ.
bell canada
bell laboratories
bell telephone laboratories
bentley college
boston college
boston univ.
brown umversity
brown univ.
bureau of the budget
cadcentre ltd.
cnrs
california state univ.
california state university
carleton university
carnegie-mellon umversity
carnegie-mellon univ.
catholic university
centre national d'etudes des telecommunications
colorado state university
columbia univ.
columbia university
computer consultant
computer maintenance corporation limited
computer systems research group
concordia univ.
concordia university
consiglio nazionale delle ricerche
consiglio nazionale delle richerche
cornell univ.
cornell university
dialog information services
data systems analysts
delft univ. of tech.
digital equipment corp.
epfl
eastern michigan univ.
ecole polytechnique
ecole polytechnique de montreal
edinburgh univ.
electricite de france
electrotechnical laboratory
emerson college
fairchild lab. for artificial intelligence research
florida international univ.
florida state univ.
geac computer international inc.
gec telecommunications ltd
gmd-f1
gte laboratories
general electric corp.
gunma
harris corp.
harvard univ.
heriot-watt univ.
hewlett packard laboratories
hewlett-packard laboratories and indiana univ.
hewlett-packard laboratories and indiana university
hiroshima univ.
hoan products ltd.
honeywell information systems
humboldt-univ. berlin
hungarian academy of sciences
iac
iasi
ibm
ibm corporation
ibm israel
ibm research
ibm research laboratory
ibm t.j. watson research center
ibm thomas j. watson research center
ibm uk scientific centre
ibm watson research center
ibm do brasil
inria
inria domaine de voluceau rocquencourt
itt advanced technology center
ibaraki univ.
illinois institute of technology
imperial college
indian institute of technology
indiana univ.
indiana university
ingenieur de l'ecole centrale des arts et manufactures
institut de programmation
institut fur angewande informatik
institute for the future
intel corp.
iona college
iowa state univ.
istituto di analisi dei sistemi ed informatica del c.n.r.
istituto di analisi dei sistemi ed informatica del cnr
kansas state univ.
kinki univ.
kuwait univ.
kyoto univ.
l.r.i.
latvian state univ.
leicester polytechnic
lockheed missiles & space company
loughborough university of technology
louisiana state univ.
lund univ.
mit
mit artificial intelligence lab.
manchester business school
manhattan college
mass. inst. of tech.
massachusetts institute of technology
mcgill univ.
medical research council
michigan state univ.
mini systems
moscow engineering and physics institute
moti lal nehru regional engineering college
musashino electrical communication laboratory
nec corporation
nagoya univ.
national aerospace lab. nlr
national board for science & technology
national chiao tung univ.
national chung hsing univ.
national defense research institute
national research council
national science foundation
national tsing hua univ.
natonal tsing hua univ.
naval postgraduate school
naval research laboratory
nazionale delle ricerche
new mexico state univ.
new york univ.
nippon electric co.
north carolina state univ.
northwestern univ.
old dominion univ.
old dominion univ. norfolk
omaha children's clinic
oslo politikammer
osrodek badawczy zjednoczenia mera
oxford umversity programmmg research group
oxford university computing laboratory
peking univ.
polish academy of sciences
politechnika poznanska
politecnico di milano
politecnico di torino
polytechnic institute of new york
portland state university
pratt institute
quality assurance institute
queen's univ.
queen's university of belfast
rca david sarnoff research center
rensselaer polytechnic institute
rice univ.
riso national laboratory
roskilde university center
rutgers univ.
sanno institute of business admin.
siemens ag
sri international
syslab
salomon brothers and wall street's computer industry analysts group
scripps clinic and research foundation
siberian branch of the ussr academy of sciences
simon fraser univ.
simon fraser university
slovak academy of science
southern illinois univ.
southern methodis univ.
speech and digital systems group
standard oil company of california
stanford univ.
state univ. of new york at albany
state univ. of new york at buffalo
state university of new york at buffalo
swiss federal institute of technology(eth)
syracuse univ.
t. j. watson research center
trw - defense systems group
tandem computers inc.
tata institute of fundamental research
technical univ. of dresden
technical university of berlin
technion-israel institute of technology
technische univ. munchen
technische universitat munchen
technischen universitat
technishe univ. munchen
tel aviv univ.
tel aviv university
tel-aviv university
temple univ.
texas a&m univ.
texas instruments ltd. (north europe)
the brookings institution
the chase manhattan bank
the city university
the florida state univ.
the medical college of pennsylvania
the open univ.
the oregon graduate center
the pennsylvania state univ.
the queen's university of belfast
the univ. of arizona
the univ. of keele
the univ. of sheffield
the univ. of texas at austin
the univ. of western ontario
the university of arizona
the universtty of western ontario
the weizmann institute of science
thought**tools and george washington university
tokyo institute of technology
tokyo scientific center
trinity college
tsukuba science city
twente university of technology
usc information sciences institute
ulster polytechnic
umversity of warsaw
univ. bordeaux-i
univ. erlangen-nurnberg
univ. karlsruhe
univ. paul sabatier
univ. politecnica
univ. der saarlandes
univ. des saarlandes
univ. di torino
univ. of alberta
univ. of antwerp
univ. of arizona
univ. of assiut
univ. of bath
univ. of bradford
univ. of california
univ. of california at berkeley
univ. of california at san diego
univ. of california at santa barbara
univ. of california-berkeley
univ. of cambridge
univ. of canterbury
univ. of chicago
univ. of colorado
univ. of copenhagen
univ. of dundee
univ. of edinburgh
univ. of erlangen-nuremberg
univ. of georgia
univ. of glasgow
univ. of helsinki
univ. of houston
univ. of illinois
univ. of jyvaskyla
univ. of kaiserslautern
univ. of kansas
univ. of karlsruhe
univ. of kent
univ. of lancaster
univ. of leicester
univ. of london
univ. of manchester
univ. of maryland
univ. of miami
univ. of michigan
univ. of missouri-columbia
univ. of new hampshire
univ. of new mexico
univ. of north carolina at greensboro
univ. of nottingham
univ. of paderborn
univ. of padua
univ. of pittsburgh
univ. of rochester
univ. of saskatchewan
univ. of sheffield
univ. of southern california
univ. of st. andrews
univ. of sussex
univ. of tennessee
univ. of texas
univ. of texas at dallas
univ. of texas at el paso
univ. of tokyo
univ. of toronto
univ. of turku
univ. of utah
univ. of virginia medical center
univ. of warsaw
univ. of waterloo
univ. of western ontario
univ. of wisconsin
univ. of wisconsin - madison
univ. of wisconsin-madison
univ. of wollongong
univ. van amsterdam
universidade catolica
universidade federal da paraiba
universidade federal do rio de janeiro
universita di padova
universita di palermo
universita di pisa
universita di roma
universitat erlangen-nurnberg
universitat kaiserslautern
universitat munchen
universitat paderborn
universitat passau
universitat stuttgart
universite paris 7
universite de montreal
universite de paris
university college
university college dublin
university college of wales
university of aberdeen
university of arizona
university of aston in birmingham
university of california
university of connecticut
university of delaware
university of denver
university of east anglia
university of evansville
university of gdansk
university of hull
university of illinois
university of illinois at urbana-champaign
university of karlsruhe
university of leeds
university of maine
university of michigan
university of missouri
university of new mexico
university of nijmegen
university of patras
university of pittsburgh
university of queensland
university of rochester
university of salerno
university of saskatchewan
university of southern california
university of southwestern louisiana
university of toronto
university of utrecht
university of warsaw
university of washington
university of waterloo
university of wisconsin at madison
university of wisconsin-madison
uniwersytetu warszawskiego
v.m. glushkov institute of cybernetics
virginia commonwealth univ.
virginia polytechnic institute and state univ.
vrije universiteit
wwsg-tv
warsaw university
washington state univ.
wayne state university
weizmann institute of science
westinghouse research & development
williams college
xerox corp.
xerox parc
xerox palo alto research center
xerox palo alto research center
yale univ.
